zip_zipcode	zip_street	area	Latitude	Longitude		
12210090	Praça Afonso Pena	Centro	-23,1843	-45,8872	-23,1843	-45,8872
12210100	Rua Francisco Paes	Centro	-23,1857	-45,8849	-23,1857	-45,8849
12210110	Rua Dolzani Ricardo	Centro	-23,1867	-45,8839	-23,1867	-45,8839
12210120	Praça Doutor Maurício Cury	Centro	-23,1871	-45,8847	-23,1871	-45,8847
12210130	Avenida Doutor João Guilhermino - lado par	Centro	-23,1893	-45,8867	-23,1893	-45,8867
12210131	Avenida Doutor João Guilhermino - lado ímpar	Centro	-23,1893	-45,8867	-23,1893	-45,8867
12210140	Rua Coronel José Monteiro	Centro	-23,1822	-45,8823	-23,1822	-45,8823
12227001	Avenida Doutor Amin Simão	Jardim da Granja	-23,2263	-45,8549	-23,2263	-45,8549
12227010	Avenida dos Astronautas - de 1372/1373 ao fim	Jardim da Granja	-23,2039	-45,8612	-23,2039	-45,8612
12227180	Rua Madre Maria Gema de Jesus	Jardim da Granja	-23,202	-45,8584	-23,202	-45,8584
12227190	Rua José Alves Moreira	Jardim da Granja	-23,2013	-45,8579	-23,2013	-45,8579
12227200	Rua Odete Mimessi	Jardim da Granja	-23,2019	-45,8575	-23,2019	-45,8575
12227210	Rua Primo Betti	Jardim da Granja	-23,19	-45,8846	-23,19	-45,8846
12227220	Rua Carolina Antunes Stetener	Jardim da Granja	-23,2018	-45,8557	-23,2018	-45,8557
12227230	Praça Hélio Dias	Jardim da Granja	-23,204	-45,8534	-23,204	-45,8534
12227240	Rua Orlando Saes	Jardim da Granja	-23,2016	-45,8555	-23,2016	-45,8555
12227250	Rua Herminio José Friggi	Jardim da Granja	-23,2049	-45,8524	-23,2049	-45,8524
12227260	Rua Dom Gabriel Paulino Bueno do Couto	Jardim da Granja	-23,2049	-45,8524	-23,2049	-45,8524
12227270	Rua José Busato	Jardim da Granja	-23,2042	-45,854	-23,2042	-45,854
12227280	Rua Centaurus	Jardim da Granja	-23,2041	-45,8549	-23,2041	-45,8549
12227290	Praça Áquila	Jardim da Granja	-23,2026	-45,858	-23,2026	-45,858
